0,Alaa Abdelnaby,1990,1994,76001,,0,
1,Zaid Abdul-Aziz,1968,1977,76002,,0,
2,Kareem Abdul-Jabbar,1969,1988,76003,,0,
3,Mahmoud Abdul-Rauf,1990,2000,51,,0,
4,Tariq Abdul-Wahad,1997,2003,1505,,0,
5,Shareef Abdur-Rahim,1996,2007,949,,0,
6,Tom Abernethy,1976,1980,76005,,0,
7,Forest Able,1956,1956,76006,,0,
8,John Abramovic,1946,1947,76007,,0,
9,Alex Abrines,2016,2016,203518,,0,
10,Alex Acker,2005,2008,101165,,0,
11,Donald Ackerman,1953,1953,76008,,0,
12,Mark Acres,1987,1992,76009,,0,
13,Charles Acton,1967,1967,76010,,0,
14,Quincy Acy,2012,2016,203112,Sacramento,1610612758,Kings
15,Alvan Adams,1975,1987,76011,,0,
16,Don Adams,1970,1976,76012,,0,
17,Hassan Adams,2006,2008,200801,,0,
18,Jordan Adams,2014,2015,203919,Memphis,1610612763,Grizzlies
19,Michael Adams,1985,1995,149,,0,
20,Steven Adams,2013,2016,203500,Oklahoma City,1610612760,Thunder
21,Rafael Addison,1986,1996,912,,0,
22,Rick Adelman,1968,1974,76015,,0,
23,Jeff Adrien,2010,2014,202399,,0,
24,Arron Afflalo,2007,2016,201167,New York,1610612752,Knicks
25,Maurice Ager,2006,2010,200772,,0,
26,Mark Aguirre,1981,1993,76016,,0,
27,Blake Ahearn,2007,2011,201336,,0,
28,Danny Ainge,1981,1994,76017,,0,
29,Alexis Ajinca,2008,2016,201582,New Orleans,1610612740,Pelicans
30,Henry Akin,1966,1967,76018,,0,
31,Josh Akognon,2012,2012,203006,,0,
32,Solomon Alabi,2010,2011,202374,,0,
33,Mark Alarie,1986,1990,76019,,0,
34,Gary Alcorn,1959,1960,76020,,0,
35,Furkan Aldemir,2014,2014,203128,,0,
36,Cole Aldrich,2010,2016,202332,LA,1610612746,Clippers
37,LaMarcus Aldridge,2006,2016,200746,San Antonio,1610612759,Spurs
38,Chuck Aleksinas,1984,1984,76021,,0,
39,Cliff Alexander,2015,2015,1626146,Portland,1610612757,Trail Blazers
40,Cory Alexander,1995,2004,724,,0,
41,Courtney Alexander,2000,2003,2042,,0,
42,Gary Alexander,1993,1993,76022,,0,
43,Joe Alexander,2008,2009,201570,,0,
44,Victor Alexander,1991,2001,2349,,0,
45,Steve Alford,1987,1990,76024,,0,
46,Bob Allen,1968,1968,76028,,0,
47,Jerome Allen,1995,1996,706,,0,
48,Lavoy Allen,2011,2016,202730,Indiana,1610612754,Pacers
49,Lucius Allen,1969,1978,76027,,0,
50,Malik Allen,2001,2010,2124,,0,
51,Randy Allen,1988,1989,76025,,0,
52,Ray Allen,1996,2013,951,,0,
53,Tony Allen,2004,2016,2754,Memphis,1610612763,Grizzlies
54,Odis Allison,1971,1971,76029,,0,
55,Lance Allred,2007,2007,200984,,0,
56,Darrell Allums,1980,1980,76030,,0,
57,Morris Almond,2007,2011,201165,,0,
58,Derrick Alston,1994,1996,308,,0,
59,Rafer Alston,1999,2009,1747,,0,
60,Peter Aluma,1998,1998,1824,,0,
61,John Amaechi,1995,2002,680,,0,
62,Ashraf Amaya,1995,1996,732,,0,
63,Al-Farouq Aminu,2010,2016,202329,Portland,1610612757,Trail Blazers
64,Lou Amundson,2006,2015,200811,New York,1610612752,Knicks
65,Bob Anderegg,1959,1959,76034,,0,
66,Chris Andersen,2001,2016,2365,Memphis,1610612763,Grizzlies
67,David Andersen,2009,2010,2431,,0,
68,Alan Anderson,2005,2016,101187,Washington,1610612764,Wizards
69,Antonio Anderson,2009,2009,202079,,0,
70,Cliff Anderson,1967,1970,76035,,0,
71,Daniel Anderson,1974,1975,76036,,0,
72,Derek Anderson,1997,2007,1507,,0,
73,Dwight Anderson,1982,1982,76037,,0,
74,Eric Anderson,1992,1993,944,,0,
75,Greg Anderson,1987,1997,246,,0,
76,James Anderson,2010,2015,202341,Sacramento,1610612758,Kings
77,Jerome Anderson,1975,1976,76040,,0,
78,Justin Anderson,2015,2016,1626147,Dallas,1610612742,Mavericks
79,Kenny Anderson,1991,2004,72,,0,
80,Kim Anderson,1978,1978,76041,,0,
81,Kyle Anderson,2014,2016,203937,San Antonio,1610612759,Spurs
82,Michael Anderson,1988,1988,76042,,0,
83,Mitchell Anderson,1982,1984,76043,,0,
84,Nick Anderson,1989,2002,98,,0,
85,Richard Anderson,1982,1989,76045,,0,
86,Ron Anderson,1984,1993,76046,,0,
87,Ryan Anderson,2008,2016,201583,New Orleans,1610612740,Pelicans
88,Shandon Anderson,1996,2005,1000,,0,
89,Willie Anderson,1988,1996,335,,0,
90,Wally Anderzunas,1969,1969,76048,,0,
91,Martynas Andriuskevicius,2005,2006,101149,,0,
92,Don Anielak,1954,1954,76049,,0,
93,Michael Ansley,1989,1991,76050,,0,
94,Chris Anstey,1997,1999,1512,,0,
95,Giannis Antetokounmpo,2013,2016,203507,Milwaukee,1610612749,Bucks
96,Thanasis Antetokounmpo,2015,2015,203648,,0,
97,Carmelo Anthony,2003,2016,2546,New York,1610612752,Knicks
98,Greg Anthony,1991,2001,21,,0,
99,Joel Anthony,2007,2015,201202,Detroit,1610612765,Pistons
100,Pero Antic,2013,2014,203544,,0,
101,Keith Appling,2015,2015,203951,,0,
102,Rafael Araujo,2004,2006,2737,,0,
103,Stacey Arceneaux,1961,1961,76053,,0,
104,Nate Archibald,1970,1983,76054,,0,
105,Robert Archibald,2002,2003,2425,,0,
106,Jim Ard,1974,1977,76055,,0,
107,Gilbert Arenas,2001,2011,2240,,0,
108,Trevor Ariza,2004,2016,2772,Houston,1610612745,Rockets
109,Paul Arizin,1950,1961,76056,,0,
110,Joe Arlauckas,1987,1987,76057,,0,
111,B.J. Armstrong,1989,1999,769,,0,
112,Bob Armstrong,1956,1956,76061,,0,
113,Brandon Armstrong,2001,2003,2220,,0,
114,Darrell Armstrong,1994,2007,353,,0,
115,Hilton Armstrong,2006,2013,200756,,0,
116,Paul Armstrong,1948,1950,76060,,0,
117,Tate Armstrong,1977,1978,76059,,0,
118,Jesse Arnelle,1955,1955,76062,,0,
119,Jay Arnette,1963,1965,76063,,0,
120,Bob Arnzen,1970,1970,76064,,0,
121,Carlos Arroyo,2001,2010,2306,,0,
122,Darrell Arthur,2008,2016,201589,Denver,1610612743,Nuggets
123,John Arthurs,1969,1969,76065,,0,
124,Omer Asik,2010,2016,201600,New Orleans,1610612740,Pelicans
125,Vincent Askew,1987,1997,355,,0,
126,Keith Askins,1990,1998,173,,0,
127,Don Asmonga,1953,1953,76068,,0,
128,Richard Atha,1955,1957,76069,,0,
129,Chucky Atkins,1999,2009,1088,,0,
130,Alvin Attles,1960,1970,76070,,0,
131,Chet Aubuchon,1946,1946,76071,,0,
132,Stacey Augmon,1991,2005,278,,0,
133,D.J. Augustin,2008,2016,201571,Denver,1610612743,Nuggets
134,James Augustine,2006,2007,200788,,0,
135,Ike Austin,1991,2001,1134,,0,
136,John Austin,1966,1966,76073,,0,
137,Ken Austin,1983,1983,76074,,0,
138,Anthony Avent,1992,1999,138,,0,
139,William Averitt,1976,1977,76076,,0,
140,William Avery,1999,2002,1895,,0,
141,Dennis Awtrey,1970,1981,76078,,0,
142,Gustavo Ayon,2011,2013,202970,,0,
143,Jeff Ayres,2009,2015,201965,LA,1610612746,Clippers
144,Kelenna Azubuike,2006,2011,101235,,0,
145,Chris Babb,2013,2014,203569,,0,
146,Luke Babbitt,2010,2016,202337,New Orleans,1610612740,Pelicans
147,Milos Babic,1990,1991,76079,,0,
148,Johnny Bach,1948,1948,76080,,0,
149,Jim Baechtold,1952,1956,76081,,0,
150,Dalibor Bagaric,2000,2002,2053,,0,
151,John Bagley,1982,1993,76082,,0,
152,Carl Bailey,1981,1981,76084,,0,
153,Gus Bailey,1974,1979,76083,,0,
154,James Bailey,1979,1987,76085,,0,
155,Thurl Bailey,1983,1998,1847,,0,
156,Toby Bailey,1998,2002,1753,,0,
157,Cameron Bairstow,2014,2015,203946,Chicago,1610612741,Bulls
159,Mark Baker,1998,1998,1858,,0,
160,Maurice Baker,2002,2004,2486,,0,
161,Norm Baker,1946,1946,76089,,0,
162,Ron Baker,2016,2016,1627758,,0,
163,Vin Baker,1993,2005,452,,0,
164,Wade Baldwin,2016,2016,1627735,,0,
165,Renaldo Balkman,2006,2011,200764,,0,
166,Cedric Ball,1990,1990,76090,,0,
167,Greg Ballard,1977,1988,76091,,0,
168,Herschel Baltimore,1946,1946,76092,,0,
169,Gene Banks,1981,1986,76093,,0,
170,Marcus Banks,2003,2010,2556,,0,
171,Ken Bannister,1984,1990,76094,,0,
172,Mike Bantom,1973,1981,76095,,0,
173,John Barber,1956,1956,76096,,0,
174,Leandro Barbosa,2003,2016,2571,Golden State,1610612744,Warriors
175,Stephen Bardo,1991,1995,76097,,0,
176,J.J. Barea,2006,2016,200826,Dallas,1610612742,Mavericks
177,Andrea Bargnani,2006,2015,200745,,0,
178,Cliff Barker,1949,1951,76098,,0,
179,Tom Barker,1976,1978,76099,,0,
180,Charles Barkley,1984,1999,787,,0,
181,Erick Barkley,2000,2002,2057,,0,
182,Don Barksdale,1951,1954,76102,,0,
183,Harrison Barnes,2012,2016,203084,Golden State,1610612744,Warriors
184,Harry Barnes,1968,1968,76103,,0,
185,Jim Barnes,1964,1970,76105,,0,
186,Marvin Barnes,1976,1979,76104,,0,
187,Matt Barnes,2002,2016,2440,Memphis,1610612763,Grizzlies
188,Dick Barnett,1959,1973,76107,,0,
189,Jim Barnett,1966,1976,76106,,0,
190,John Barnhill,1962,1968,76108,,0,
191,Norton Barnhill,1976,1976,76109,,0,
192,Leo Barnhorst,1949,1953,76110,,0,
193,John Barr,1946,1946,76111,,0,
194,Mike Barr,1976,1976,76112,,0,
195,Thomas Barr,1970,1970,76113,,0,
196,Andre Barrett,2004,2007,2857,,0,
197,Ernie Barrett,1953,1955,76114,,0,
198,Earl Barron,2005,2014,2853,,0,
199,Dana Barros,1989,2003,344,,0,
200,Brent Barry,1995,2008,699,,0,
201,Drew Barry,1997,1999,1003,,0,
202,Jon Barry,1992,2005,468,,0,
203,Rick Barry,1965,1979,600013,,0,
204,Ed Bartels,1949,1950,76117,,0,
205,Vic Bartolome,1971,1971,76118,,0,
206,Will Barton,2012,2016,203115,Denver,1610612743,Nuggets
207,Eddie Basden,2005,2005,101188,,0,
208,Jerry Baskerville,1975,1975,76119,,0,
209,Brandon Bass,2005,2016,101138,Los Angeles,1610612747,Lakers
210,Tim Bassett,1976,1979,76120,,0,
211,Maceo Baston,2002,2008,1766,,0,
212,Mengke Bateer,2001,2003,2370,,0,
213,Billyray Bates,1979,1982,76121,,0,
214,Esteban Batista,2005,2006,101212,,0,
215,Mike Batiste,2002,2002,2471,,0,
216,Tony Battie,1997,2011,1499,,0,
217,Shane Battier,2001,2013,2203,,0,
218,John Battle,1985,1994,174,,0,
219,Kenny Battle,1989,1992,76123,,0,
220,Dave Batton,1982,1983,76124,,0,
221,Nicolas Batum,2008,2016,201587,Charlotte,1610612766,Hornets
222,Johnny Baum,1969,1970,76125,,0,
223,Frankie Baumholtz,1946,1946,76126,,0,
224,Lonny Baxter,2002,2005,2437,,0,
225,Jerryd Bayless,2008,2016,201573,Milwaukee,1610612749,Bucks
226,Elgin Baylor,1958,1971,76127,,0,
227,Aron Baynes,2012,2016,203382,Detroit,1610612765,Pistons
228,Sergei Bazarevich,1994,1994,76128,,0,
229,Kent Bazemore,2012,2016,203145,Atlanta,1610612737,Hawks
230,Ed Beach,1950,1950,76129,,0,
231,Bradley Beal,2012,2016,203078,Washington,1610612764,Wizards
232,Butch Beard,1969,1978,76130,,0,
233,Ralph Beard,1949,1950,76131,,0,
234,Jerome Beasley,2003,2003,2602,,0,
235,Malik Beasley,2016,2016,1627736,,0,
236,Michael Beasley,2008,2016,201563,Houston,1610612745,Rockets
237,Zelmo Beaty,1962,1974,76133,,0,
238,Rodrigue Beaubois,2009,2012,201958,,0,
239,Byron Beck,1976,1976,76134,,0,
240,Corey Beck,1995,1998,1133,,0,
241,Ernie Beck,1953,1960,76136,,0,
242,Moe Becker,1946,1946,76137,,0,
243,William Bedford,1986,1992,76138,,0,
244,Hank Beenders,1946,1948,76139,,0,
245,Ron Behagen,1973,1979,76140,,0,
246,Elmer Behnke,1951,1951,76141,,0,
247,Marco Belinelli,2007,2016,201158,Sacramento,1610612758,Kings
248,Charlie Bell,2001,2010,2294,,0,
249,Dennis Bell,1973,1975,76142,,0,
250,Raja Bell,2000,2011,1952,,0,
251,Troy Bell,2003,2003,2559,,0,
252,William Bell,1959,1960,76143,,0,
253,Walt Bellamy,1961,1974,76144,,0,
254,DeAndre' Bembry,2016,2016,1627761,,0,
255,Irv Bemoras,1953,1956,76145,,0,
256,Leon Benbow,1974,1975,76146,,0,
257,Dragan Bender,2016,2016,1627733,,0,
258,Jonathan Bender,1999,2009,1886,,0,
259,Jerrelle Benimon,2014,2014,203968,,0,
260,Benoit Benjamin,1985,1999,104,,0,
261,Corey Benjamin,1998,2002,1736,,0,
262,Anthony Bennett,2013,2016,203461,,0,
263,Elmer Bennett,1994,1996,1120,,0,
264,Mario Bennett,1995,2002,712,,0,
265,Mel Bennett,1976,1981,76151,,0,
266,Tony Bennett,1992,1994,76148,,0,
267,Winston Bennett,1989,1991,76152,,0,
268,David Benoit,1991,2000,128,,0,
269,Keith Benson,2011,2011,202728,,0,
270,Kent Benson,1977,1987,76154,,0,
271,Gene Berce,1949,1949,76155,,0,
272,Gary Bergen,1956,1956,76156,,0,
273,Ricky Berry,1988,1988,76157,,0,
274,Walter Berry,1986,1988,76158,,0,
275,Davis Bertans,2016,2016,202722,,0,
276,Del Beshore,1978,1979,76159,,0,
277,Travis Best,1995,2004,696,,0,
278,Patrick Beverley,2012,2016,201976,Houston,1610612745,Rockets
279,Sim Bhullar,2014,2014,204021,,0,
280,Al Bianchi,1956,1965,76160,,0,
281,Hank Biasatti,1946,1946,76161,,0,
282,Henry Bibby,1972,1980,76162,,0,
283,Mike Bibby,1998,2011,1710,,0,
284,Ed Biedenbach,1968,1968,76163,,0,
285,Andris Biedrins,2004,2013,2740,,0,
286,Don Bielke,1955,1955,76164,,0,
287,Bob Bigelow,1975,1978,76165,,0,
288,Chauncey Billups,1997,2013,1497,,0,
289,Dave Bing,1966,1977,76166,,0,
290,Joe Binion,1986,1986,76167,,0,
291,Jerry Bird,1958,1958,76168,,0,
292,Larry Bird,1979,1991,1449,,0,
293,Otis Birdsong,1977,1988,76170,,0,
294,Gale Bishop,1948,1948,76171,,0,
295,Bismack Biyombo,2011,2016,202687,Toronto,1610612761,Raptors
296,Nemanja Bjelica,2015,2016,202357,Minnesota,1610612750,Timberwolves
297,Uwe Blab,1985,1989,76172,,0,
298,Charlie Black,1948,1951,76173,,0,
299,Norman Black,1980,1980,76174,,0,
300,Tarik Black,2014,2016,204028,Los Angeles,1610612747,Lakers
301,Tom Black,1970,1970,76175,,0,
302,Rolando Blackman,1981,1993,76176,,0,
303,Alex Blackwell,1992,1992,76180,,0,
304,Cory Blackwell,1984,1984,76177,,0,
305,James Blackwell,1994,1994,1806,,0,
306,Nate Blackwell,1987,1987,76179,,0,
307,DeJuan Blair,2009,2015,201971,,0,
308,Steve Blake,2003,2015,2581,Detroit,1610612765,Pistons
309,Marqus Blakely,2010,2010,202392,,0,
310,Will Blalock,2006,2006,200807,,0,
311,George Blaney,1961,1961,76182,,0,
312,Lance Blanks,1990,1992,76183,,0,
313,Ricky Blanton,1992,1992,76184,,0,
314,Andray Blatche,2005,2013,101154,,0,
315,Mookie Blaylock,1989,2001,302,,0,
316,Eric Bledsoe,2010,2016,202339,Phoenix,1610612756,Suns
317,Leon Blevins,1950,1950,76186,,0,
318,John Block,1966,1975,76187,,0,
319,Mike Bloom,1947,1948,76188,,0,
320,Corie Blount,1993,2003,916,,0,
321,Mark Blount,2000,2008,1548,,0,
322,Vander Blue,2013,2014,203505,,0,
323,Ray Blume,1981,1981,76189,,0,
324,Nelson Bobb,1949,1952,76190,,0,
325,Tony Bobbitt,2004,2004,2800,,0,
326,Arlen Bockhorn,1958,1964,76191,,0,
327,Tom Boerwinkle,1968,1977,76192,,0,
328,Keith Bogans,2003,2013,2586,,0,
329,Bojan Bogdanovic,2014,2016,202711,Brooklyn,1610612751,Nets
330,Muggsy Bogues,1987,2000,177,,0,
331,Andrew Bogut,2005,2016,101106,Golden State,1610612744,Warriors
332,Etdrick Bohannon,1997,2000,1564,,0,
333,Manute Bol,1985,1994,76195,,0,
334,Bill Bolger,1953,1953,76196,,0,
335,Joel Bolomboy,2016,2016,1627762,,0,
336,Doug Bolstorff,1957,1957,76197,,0,
337,George H. Bon Salle,1961,1961,76203,,0,
338,Phil Bond,1977,1977,76198,,0,
339,Walter Bond,1992,1994,1603,,0,
340,Dexter Boney,1996,1996,1121,,0,
341,Ron Bonham,1964,1965,76201,,0,
342,Anthony Bonner,1990,2002,41,,0,
343,Matt Bonner,2004,2015,2588,San Antonio,1610612759,Spurs
344,Devin Booker,2015,2016,1626164,Phoenix,1610612756,Suns
345,Melvin Booker,1995,1996,511,,0,
346,Trevor Booker,2010,2016,202344,Utah,1610612762,Jazz
347,Josh Boone,2006,2009,200767,,0,
348,Ron Boone,1976,1980,76204,,0,
349,Calvin Booth,1999,2008,1916,,0,
350,Keith Booth,1997,1998,1522,,0,
351,Bob Boozer,1960,1970,76206,,0,
352,Carlos Boozer,2002,2014,2430,,0,
353,Curtis Borchardt,2002,2004,2414,,0,
354,Jake Bornheimer,1948,1949,76207,,0,
355,Lazaro Borrell,1999,1999,1953,,0,
356,Costic Borsavage,1950,1950,76209,,0,
357,Vince Boryla,1949,1953,76210,,0,
358,Chris Bosh,2003,2016,2547,Miami,1610612748,Heat
359,Jim Bostic,1977,1977,76211,,0,
360,Lawrence Boston,1979,1979,76212,,0,
361,Tom Boswell,1975,1983,76213,,0,
362,Ruben Boumtje-Boumtje,2001,2003,2257,,0,
363,Don Boven,1949,1952,76214,,0,
364,Cal Bowdler,1999,2001,1898,,0,
365,Bruce Bowen,1996,2008,1477,,0,
366,Ryan Bowen,1999,2009,1763,,0,
367,Anthony Bowie,1988,1997,194,,0,
368,Sam Bowie,1984,1994,76217,,0,
369,Ira Bowman,1999,2001,1085,,0,
